profile_name,likely_faculty,total_citations,papers,first_year,top_venue,scholar_profile
"Marisol Morales, EdD",no,35,11,2011,Crossing Boundaries: Tension and Transformation in Internati,https://scholar.google.com/citations?user=JGBFsgkAAAAJ&hl=en
Rahul Pandya,no,33,12,2021,"Solid State Technology 64 (2), 3079-3089",https://scholar.google.com/citations?user=dFtpg9IAAAAJ&hl=en
Darin Rajan,no,30,2,2013,"US Patent 8,452,347",https://scholar.google.com/citations?user=4WRin-AAAAAJ&hl=en
Daneih Ismail,no,29,7,2019,International Conference on Artificial Intelligence in Educa,https://scholar.google.com/citations?user=Ilf_DlgAAAAJ&hl=en
"Jason Snyder, Ph.D.",no,29,6,2021,"Innovation in Aging 5 (Suppl 1), 772-773",https://scholar.google.com/citations?user=AntZRnEAAAAJ&hl=en
Mary Abo,no,29,2,2021,"Journal of Prevention & Intervention in the Community, 1-14",https://scholar.google.com/citations?user=qX3PtxgAAAAJ&hl=en
Shatabdi Choudhury,no,29,6,2000,"Quality Engineering 12 (3), 439-445",https://scholar.google.com/citations?user=nhfbW2YAAAAJ&hl=en
Atta Yaw Agyeman,no,27,10,2024,International Journal of Innovative Science and Research Tec,https://scholar.google.com/citations?user=UBDckjYAAAAJ&hl=en
Giulia Pellizzato,no,27,22,2015,The Literary Encyclopedia,https://scholar.google.com/citations?user=MEXFAlsAAAAJ&hl=en
Saba Bashir,no,26,6,2016,"Research Journal of Recent Sciences 5 (10), 32-35",https://scholar.google.com/citations?user=OOU_L-sAAAAJ&hl=en
Sara Yavari,no,26,13,2017,2017 IEEE 4th International Conference on Knowledge-Based En,https://scholar.google.com/citations?user=_Lz4ZdgAAAAJ&hl=en
Ester Trujillo,no,25,5,2011,"Camino Real. Estudios Hispanidades Norteamericanas, 3 (5), 1",https://scholar.google.com/citations?user=8wT5E_IAAAAJ&hl=en
Diego Thompson,no,24,1,2021,"Attention, Perception, & Psychophysics 83 (1), 7-17",https://scholar.google.com/citations?user=17dwnOAAAAAJ&hl=en
